GeneID	Sample3
1552390_a_at	2.76
1552389_at	3.4
1552388_at	2.61
1552386_at	1.35
1552384_a_at	2.2
1552383_at	4.47
1552381_at	2.44
1552379_at	1.76
1552378_s_at	4.38
1552377_s_at	2.46
1552375_at	2.29
1552373_s_at	1.99
1552372_at	1.66
1552370_at	5.31
1552368_at	2.47
1552367_a_at	4.14
1552365_at	7.19
1552364_s_at	6.97
1552362_a_at	3.35
1552360_a_at	3.71
1552359_at	2.19
1552355_s_at	1.99
1552354_at	3.06
1552349_a_at	3.08
1552348_at	2.48
1552347_at	4.82
1552344_s_at	5.97
1552343_s_at	3.13
1552340_at	2.02
1552338_at	3.12
1552337_s_at	2.7
1552335_at	2.64
1552334_at	2.43
1552332_at	4.45
1552330_at	9.08
1552329_at	8.32
1552327_at	2.03
1552326_a_at	2.63
1552325_at	2.94
1552323_s_at	1.63
1552322_at	1.31
1552321_a_at	2.18
1552320_a_at	2.45
1552319_a_at	3
1552318_at	2.01
1552316_a_at	1.81
1552315_at	2.52
1552314_a_at	3.03
1552312_a_at	7.66
1552311_a_at	3.43
1552310_at	8.43
1552309_a_at	1.04
1552307_a_at	4.16
1552306_at	6.52
1552304_at	3.44
1552303_a_at	2.49
1552302_at	3.09
1552301_a_at	2.44
1552299_at	4.4
1552296_at	2.99
1552295_a_at	5.44
1552293_at	2.42
1552291_at	10.05
1552289_a_at	2.34
1552288_at	3.39
1552287_s_at	8.07
1552286_at	4.88
1552283_s_at	3.45
1552281_at	3.37
1552280_at	1.86
1552279_a_at	4.33
1552278_a_at	3.16
1552277_a_at	8.83
1552276_a_at	3
1552275_s_at	2.78
1552274_at	3.18
1552272_a_at	2.88
1552271_at	3.04
1552269_at	4.57
1552266_at	3.92
1552264_a_at	7.1
1552263_at	3.48
1552261_at	2.83
1552258_at	2.49
1552257_a_at	6.56
1552256_a_at	8.73
1494_f_at	2.48
1487_at	7.98
1438_at	4.59
1431_at	1.99
1405_i_at	5.3
1320_at	6.19
1316_at	2.8
1294_at	2.72
1255_g_at	1.7
121_at	4.32
117_at	3.41
1053_at	7.54
1007_s_at	11.44
