GeneID	Sample1
1007_s_at	10.93
1053_at	8.28
117_at	3.31
121_at	4.42
1255_g_at	1.8
1294_at	2.69
1316_at	3.26
1320_at	5.54
1405_i_at	4.29
1431_at	2.19
1438_at	4.05
1487_at	7.92
1494_f_at	2.64
1552256_a_at	8.72
1552257_a_at	6.81
1552258_at	2.63
1552261_at	2.69
1552263_at	2.94
1552264_a_at	7.02
1552266_at	2.94
1552269_at	3.87
1552271_at	2.93
1552272_a_at	3.1
1552274_at	2.67
1552275_s_at	2.26
1552276_a_at	2.95
1552277_a_at	9.16
1552278_a_at	3.14
1552279_a_at	4.08
1552280_at	2.05
1552281_at	3.75
1552283_s_at	3.32
1552286_at	5.25
1552287_s_at	8.19
1552288_at	3.42
1552289_a_at	2.74
1552291_at	9.56
1552293_at	2.27
1552295_a_at	4.73
1552296_at	2.97
1552299_at	4.39
1552301_a_at	2.62
1552302_at	2.94
1552303_a_at	2.43
1552304_at	3.84
1552306_at	6.94
1552307_a_at	4.13
1552309_a_at	0.97
1552310_at	8.11
1552311_a_at	3.44
1552312_a_at	7.69
1552314_a_at	3.2
1552315_at	2.84
1552316_a_at	2.06
1552318_at	2.38
1552319_a_at	3.64
1552320_a_at	2.96
1552321_a_at	2.93
1552322_at	1.94
1552323_s_at	1.68
1552325_at	2.69
1552326_a_at	3.06
1552327_at	2.16
1552329_at	8.01
1552330_at	9.1
1552332_at	4.31
1552334_at	2.37
1552335_at	2.4
1552337_s_at	2.51
1552338_at	3.13
1552340_at	2.05
1552343_s_at	2.65
1552344_s_at	5.03
1552347_at	3.64
1552348_at	2.16
1552349_a_at	3.04
1552354_at	2.59
1552355_s_at	2.11
1552359_at	1.93
1552360_a_at	3.46
1552362_a_at	3.43
1552364_s_at	8.2
1552365_at	5.63
1552367_a_at	2.88
1552368_at	2.12
1552370_at	4.28
1552372_at	1.41
1552373_s_at	2.34
1552375_at	2.45
1552377_s_at	2.63
1552378_s_at	3.87
1552379_at	1.61
1552381_at	2.21
1552383_at	4.97
1552384_a_at	1.99
1552386_at	1.51
1552388_at	2.56
1552389_at	3.22
1552390_a_at	3.18
